"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://use.typekit.net/kqq2ubw.css","text/css;charset=utf-8","200","OK","1","0"
"https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Manrope&family=Rajdhani:wght@300;400;500;600;700&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d432908.07681207696!2d115.63189651745836!3d-32.0396375162037!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2a32966cdb47733d%3A0x304f0b535df55d0!2sPerth%20WA%2C%20Australia!5e0!3m2!1sen!2sbd!4v1726293860078!5m2!1sen!2sbd","","0","Blocked by robots.txt","2","0"
